1;'amor';'um sentimento mais forte que amizade'
2;'liberdade';'ausência de restrições e opressão'
3;'razão';'faculdade de pensar, entender e tirar conclusões'
4;'algoritmo';'conjunto ordenado e finito de operações'
5;'cosmos';'universo em sua totalidade observável'
1;'fé';'confiança inabalável em algo ou alguém'
2;'autonomia';'capacidade de se autogovernar'
3;'lógica';'raciocínio estruturado e coerente'
4;'inovação';'introdução de algo novo ou aprimorado'
5;'ética';'conjunto de princípios morais que guiam o comportamento'
1;'esperança';'expectativa otimista em relação ao futuro'
2;'alma';'parte imaterial e eterna do ser humano'
3;'verdade';'conformidade com os fatos ou a realidade'
4;'código';'conjunto de regras ou leis'
5;'unidade';'estado de ser uma única entidade'
1;'coragem';'capacidade de enfrentar o medo ou adversidade'
2;'verdadeiro';'em conformidade com os fatos'
3;'felicidade';'estado de bem-estar e contentamento'
4;'virtual';'existente apenas no ambiente digital'
5;'harmonia';'equilíbrio e acordo entre diferentes elementos'
1;'paz';'ausência de conflito ou perturbação'
2;'destino';'força inevitável que controla os eventos'
3;'conhecimento';'informações adquiridas através da experiência ou estudo'
4;'engenharia';'aplicação de conhecimentos científicos para projetar e construir'
5;'percepção';'capacidade de interpretar estímulos sensoriais'
1;'cidadania';'status de pertencer a uma comunidade ou nação'
2;'harmonia';'equilíbrio e acordo entre diferentes elementos'
3;'realidade';'aquilo que existe de fato'
4;'evolução';'desenvolvimento ao longo do tempo'
5;'coexistência';'existência pacífica simultânea'
1;'renascimento';'revivalismo ou renovação'
2;'curiosidade';'desejo de aprender ou descobrir'
3;'consciência';'conhecimento e percepção de si mesmo'
4;'exploração';'investigação e descoberta de novas terras ou ideias'
5;'individualidade';'qualidade de ser único ou diferente'
1;'resiliência';'capacidade de se recuperar de adversidades'
2;'independência';'estado de não depender dos outros'
3;'criatividade';'capacidade de criar algo novo e original'
4;'virtude';'qualidade moral positiva'
5;'singularidade';'estado de ser único ou excepcional'
1;'persistência';'determinação em alcançar um objetivo'
2;'compreensão';'ato de entender ou conceber'
3;'inspiração';'estímulo criativo ou motivador'
4;'cooperação';'trabalho conjunto para atingir um objetivo'
5;'equidade';'justiça e imparcialidade'
1;'tranquilidade';'estado de calma e paz'
2;'justiça';'princípio de tratamento justo e imparcial'
3;'transformação';'mudança significativa ou fundamental'
4;'cidadão';'membro de uma comunidade ou nação'
5;'integridade';'qualidade de ser íntegro e honesto'
1;'prosperidade';'estado de sucesso e crescimento'
2;'gratidão';'sentimento de reconhecimento e apreço'
3;'inovação';'introdução de algo novo ou aprimorado'
4;'sabedoria';'conhecimento profundo e discernimento'
5;'disciplina';'autocontrole e obediência a regras'
1;'autenticidade';'qualidade de ser genuíno e verdadeiro'
2;'inclusão';'princípio de envolver todos de maneira igualitária'
3;'amizade';'relação afetuosa entre amigos'
4;'ambição';'desejo forte de alcançar o sucesso'
5;'equilíbrio';'estado de estabilidade e harmonia'
1;'solidariedade';'união e apoio mútuo em tempos difíceis'
2;'autoexpressão';'expressar a própria identidade e individualidade'
3;'conexão';'vínculo ou ligação significativa'
4;'ousadia';'coragem para enfrentar desafios'
5;'gentileza';'qualidade de ser amável e cortês'
1;'intuição';'conhecimento instantâneo e imediato'
2;'humildade';'modéstia e ausência de arrogância'
3;'confiança';'firmeza na crença na honestidade ou habilidade de alguém'
4;'sustentabilidade';'prática de uso responsável dos recursos naturais'
5;'respeito';'consideração e apreço pelos outros'
1;'curiosidade';'desejo de aprender ou descobrir'
2;'harmonia';'equilíbrio e acordo entre diferentes elementos'
3;'realidade';'aquilo que existe de fato'
4;'evolução';'desenvolvimento ao longo do tempo'
5;'coexistência';'existência pacífica simultânea'